year,age,suicides
1985,15-24 Years,17870
1986,15-24 Years,18063
1987,15-24 Years,16432
1988,15-24 Years,15337
1989,15-24 Years,18636
1990,15-24 Years,23248
1991,15-24 Years,23317
1992,15-24 Years,24727
1993,15-24 Years,25262
1994,15-24 Years,27296
1995,15-24 Years,29461
1996,15-24 Years,30365
1997,15-24 Years,30157
1998,15-24 Years,30817
1999,15-24 Years,31582
2000,15-24 Years,31742
2001,15-24 Years,30806
2002,15-24 Years,31087
2003,15-24 Years,30558
2004,15-24 Years,28702
2005,15-24 Years,27624
2006,15-24 Years,27937
2007,15-24 Years,27670
2008,15-24 Years,28145
2009,15-24 Years,28487
2010,15-24 Years,27684
2011,15-24 Years,27937
2012,15-24 Years,26280
2013,15-24 Years,24249
2014,15-24 Years,24028
2015,15-24 Years,21841
1985,25-34 Years,20771
1986,25-34 Years,21685
1987,25-34 Years,22309
1988,25-34 Years,21332
1989,25-34 Years,29427
1990,25-34 Years,35276
1991,25-34 Years,35615
1992,25-34 Years,37758
1993,25-34 Years,39044
1994,25-34 Years,40946
1995,25-34 Years,42371
1996,25-34 Years,42593
1997,25-34 Years,41158
1998,25-34 Years,41706
1999,25-34 Years,41968
2000,25-34 Years,41605
2001,25-34 Years,40279
2002,25-34 Years,41536
2003,25-34 Years,41053
2004,25-34 Years,38221
2005,25-34 Years,37442
2006,25-34 Years,37221
2007,25-34 Years,37936
2008,25-34 Years,37756
2009,25-34 Years,39389
2010,25-34 Years,38317
2011,25-34 Years,37936
2012,25-34 Years,36625
2013,25-34 Years,35068
2014,25-34 Years,35381
2015,25-34 Years,32118
1985,35-54 Years,35748
1986,35-54 Years,37558
1987,35-54 Years,40649
1988,35-54 Years,38770
1989,35-54 Years,53541
1990,35-54 Years,65242
1991,35-54 Years,68374
1992,35-54 Years,75051
1993,35-54 Years,80670
1994,35-54 Years,84986
1995,35-54 Years,89752
1996,35-54 Years,91280
1997,35-54 Years,88012
1998,35-54 Years,91627
1999,35-54 Years,96223
2000,35-54 Years,97814
2001,35-54 Years,96998
2002,35-54 Years,98675
2003,35-54 Years,98693
2004,35-54 Years,92531
2005,35-54 Years,88498
2006,35-54 Years,87032
2007,35-54 Years,85749
2008,35-54 Years,86664
2009,35-54 Years,90390
2010,35-54 Years,87364
2011,35-54 Years,85345
2012,35-54 Years,82482
2013,35-54 Years,80227
2014,35-54 Years,79132
2015,35-54 Years,71298
1985,5-14 Years,984
1986,5-14 Years,944
1987,5-14 Years,935
1988,5-14 Years,837
1989,5-14 Years,1150
1990,5-14 Years,1477
1991,5-14 Years,1533
1992,5-14 Years,1687
1993,5-14 Years,1789
1994,5-14 Years,1760
1995,5-14 Years,1921
1996,5-14 Years,1865
1997,5-14 Years,1880
1998,5-14 Years,2082
1999,5-14 Years,2049
2000,5-14 Years,2065
2001,5-14 Years,2095
2002,5-14 Years,2064
2003,5-14 Years,1873
2004,5-14 Years,1839
2005,5-14 Years,1774
2006,5-14 Years,1755
2007,5-14 Years,1671
2008,5-14 Years,1640
2009,5-14 Years,1835
2010,5-14 Years,1760
2011,5-14 Years,1879
2012,5-14 Years,1752
2013,5-14 Years,1806
2014,5-14 Years,1882
2015,5-14 Years,1681
1985,55-74 Years,28736
1986,55-74 Years,29760
1987,55-74 Years,32469
1988,55-74 Years,30538
1989,55-74 Years,40087
1990,55-74 Years,47018
1991,55-74 Years,48315
1992,55-74 Years,51506
1993,55-74 Years,54278
1994,55-74 Years,56576
1995,55-74 Years,59138
1996,55-74 Years,59979
1997,55-74 Years,58672
1998,55-74 Years,61642
1999,55-74 Years,62664
2000,55-74 Years,60973
2001,55-74 Years,59037
2002,55-74 Years,60324
2003,55-74 Years,60929
2004,55-74 Years,57103
2005,55-74 Years,56581
2006,55-74 Years,56613
2007,55-74 Years,56857
2008,55-74 Years,57687
2009,55-74 Years,59902
2010,55-74 Years,59743
2011,55-74 Years,59178
2012,55-74 Years,58443
2013,55-74 Years,57696
2014,55-74 Years,57696
2015,55-74 Years,53588
1985,75+ Years,11954
1986,75+ Years,12660
1987,75+ Years,14048
1988,75+ Years,14212
1989,75+ Years,17403
1990,75+ Years,21100
1991,75+ Years,20866
1992,75+ Years,20744
1993,75+ Years,20522
1994,75+ Years,20499
1995,75+ Years,20901
1996,75+ Years,20643
1997,75+ Years,20866
1998,75+ Years,21717
1999,75+ Years,21633
2000,75+ Years,21633
2001,75+ Years,21437
2002,75+ Years,22409
2003,75+ Years,22973
2004,75+ Years,22465
2005,75+ Years,22456
2006,75+ Years,22803
2007,75+ Years,23525
2008,75+ Years,23555
2009,75+ Years,23484
2010,75+ Years,23834
2011,75+ Years,24209
2012,75+ Years,24578
2013,75+ Years,24153
2014,75+ Years,24865
2015,75+ Years,23114
