year,female,male
1985,32479,83584
1986,33852,86818
1987,35006,91836
1988,33015,88011
1989,41361,118883
1990,50118,143243
1991,49622,148398
1992,51567,159906
1993,51331,170234
1994,51532,180531
1995,54504,189040
1996,54583,192142
1997,54126,186619
1998,55631,193960
1999,56215,199904
2000,55254,200578
2001,52999,197653
2002,55549,200546
2003,55627,200452
2004,53232,187629
2005,52035,182340
2006,52039,181322
2007,53324,180084
2008,53973,181474
2009,54920,188567
2010,54222,184480
2011,54616,181868
2012,53011,177149
2013,51459,171740
2014,51556,171428
2015,47248,156392
