year,age,suicides
1990,5-14 Years Old,170
1991,5-14 Years Old,172
1992,5-14 Years Old,174
1993,5-14 Years Old,174
1994,5-14 Years Old,173
1995,5-14 Years Old,173
1996,5-14 Years Old,172
1997,5-14 Years Old,171
1998,5-14 Years Old,169
1999,5-14 Years Old,169
2000,5-14 Years Old,167
2001,5-14 Years Old,164
2002,5-14 Years Old,161
2003,5-14 Years Old,159
2004,5-14 Years Old,157
2005,5-14 Years Old,156
2006,5-14 Years Old,154
2007,5-14 Years Old,152
2008,5-14 Years Old,148
2009,5-14 Years Old,146
2010,5-14 Years Old,144
2011,5-14 Years Old,141
2012,5-14 Years Old,139
2013,5-14 Years Old,136
2014,5-14 Years Old,135
2015,5-14 Years Old,131
2016,5-14 Years Old,128
2017,5-14 Years Old,124
1990,15-49 Years Old,3448
1991,15-49 Years Old,3460
1992,15-49 Years Old,3498
1993,15-49 Years Old,3569
1994,15-49 Years Old,3623
1995,15-49 Years Old,3638
1996,15-49 Years Old,3583
1997,15-49 Years Old,3552
1998,15-49 Years Old,3529
1999,15-49 Years Old,3505
2000,15-49 Years Old,3469
2001,15-49 Years Old,3423
2002,15-49 Years Old,3383
2003,15-49 Years Old,3341
2004,15-49 Years Old,3298
2005,15-49 Years Old,3276
2006,15-49 Years Old,3216
2007,15-49 Years Old,3173
2008,15-49 Years Old,3137
2009,15-49 Years Old,3076
2010,15-49 Years Old,3027
2011,15-49 Years Old,2974
2012,15-49 Years Old,2924
2013,15-49 Years Old,2877
2014,15-49 Years Old,2840
2015,15-49 Years Old,2817
2016,15-49 Years Old,2785
2017,15-49 Years Old,2767
1990,50-69 Years Old,4780
1991,50-69 Years Old,4789
1992,50-69 Years Old,4833
1993,50-69 Years Old,4927
1994,50-69 Years Old,4999
1995,50-69 Years Old,5022
1996,50-69 Years Old,4977
1997,50-69 Years Old,4943
1998,50-69 Years Old,4924
1999,50-69 Years Old,4888
2000,50-69 Years Old,4841
2001,50-69 Years Old,4791
2002,50-69 Years Old,4746
2003,50-69 Years Old,4717
2004,50-69 Years Old,4652
2005,50-69 Years Old,4608
2006,50-69 Years Old,4525
2007,50-69 Years Old,4451
2008,50-69 Years Old,4396
2009,50-69 Years Old,4327
2010,50-69 Years Old,4272
2011,50-69 Years Old,4213
2012,50-69 Years Old,4164
2013,50-69 Years Old,4115
2014,50-69 Years Old,4068
2015,50-69 Years Old,4059
2016,50-69 Years Old,4022
2017,50-69 Years Old,3988
1990,70+ Years Old,7385
1991,70+ Years Old,7374
1992,70+ Years Old,7398
1993,70+ Years Old,7447
1994,70+ Years Old,7463
1995,70+ Years Old,7442
1996,70+ Years Old,7418
1997,70+ Years Old,7391
1998,70+ Years Old,7369
1999,70+ Years Old,7301
2000,70+ Years Old,7212
2001,70+ Years Old,7106
2002,70+ Years Old,7043
2003,70+ Years Old,7019
2004,70+ Years Old,6938
2005,70+ Years Old,6862
2006,70+ Years Old,6756
2007,70+ Years Old,6670
2008,70+ Years Old,6613
2009,70+ Years Old,6547
2010,70+ Years Old,6507
2011,70+ Years Old,6450
2012,70+ Years Old,6410
2013,70+ Years Old,6354
2014,70+ Years Old,6319
2015,70+ Years Old,6322
2016,70+ Years Old,6288
2017,70+ Years Old,6254
