year,male,female
2004,4.884803772,8.630155563
2004,9.330574036,6.060874939
2004,5.145025253,4.600764751
2004,8.048293114,2.902797222
2004,21.47297668,8.143819809
2004,4.430495262,
1966,12.20396,3.773803
1967,15.55211,4.522207
1968,16.78204,4.950262
1969,16.7764,4.47279
1970,16.04499,5.086274
1977,11.71793,4.095239
1978,11.94934,4.20104
1979,10.19954,3.768375
1980,11.59206,3.895963
1981,12.98644,3.973988
1982,11.06296,3.379611
1983,9.592617,3.553246
1984,10.37836,3.264729
1985,10.73983,3.57422
1986,12.03627,4.305565
1987,11.58906,4.496664
1988,11.82209,4.194231
1989,11.35565,3.802261
1990,10.51878,3.655709
1991,9.852893,2.975335
1992,11.32803,2.9983
1993,11.57395,2.870972
1994,11.19603,2.945701
1995,10.77449,2.831591
1996,10.63765,2.955786
1997,10.30783,3.053083
1998,10.91713,2.805949
1999,11.39431,2.604184
2000,12.92308,2.917899
2001,14.0125,3.537312
2002,13.75238,3.624188
2003,14.32759,3.470717
2004,13.3532,3.28949
2004,6.392276287,1.542518139
1950,13.89218,4.559263
1951,14.318,4.573612
1952,15.99589,5.168044
1953,15.86971,5.885497
1954,16.23365,5.378865
1955,15.49302,5.318667
1956,16.03185,5.7286
1957,17.84965,6.757056
1958,19.05134,6.139689
1959,16.91927,5.798526
1960,15.61751,6.195316
1961,17.6378,6.841145
1962,19.69866,8.803148
1963,22.00281,10.87834
1964,20.24845,10.17107
1965,19.79254,11.19239
1966,18.46308,10.9659
1967,20.10027,11.42143
1968,17.81481,8.789992
1969,17.69678,8.080665
1970,18.06028,7.769779
1971,18.94889,9.616284
1972,17.58323,8.662896
1973,16.49461,7.727494
1974,16.73973,7.592533
1975,15.81281,7.196371
1976,16.26861,5.920273
1977,16.4062,6.31923
1978,16.04263,6.624237
1979,16.75487,6.605552
1980,16.48452,5.547964
1981,16.8945,5.491399
1982,17.21728,5.708966
1983,16.63548,5.029721
1984,16.99337,5.075873
1985,17.79891,5.098112
1986,19.13559,5.602667
1987,20.54657,5.035711
1988,19.85528,5.167239
1989,18.75663,4.624014
1990,19.78778,4.798937
1991,19.98861,5.228232
1992,19.48194,4.89091
1993,17.68173,4.123482
1994,19.90309,4.31111
1995,18.06133,4.759037
1996,20.42005,4.651205
1997,21.60116,5.565905
1998,21.56089,5.183353
1999,20.07539,4.872392
2000,18.68202,4.892426
2001,18.95002,4.904302
2002,17.50702,4.672353
2003,15.9637,4.357681
2004,15.45678,4.001978
1955,29.9986,13.03628
1956,29.41163,12.27382
1957,31.28951,12.48098
1958,30.85925,12.57883
1959,32.8964,12.87934
1960,30.00605,12.32755
1961,29.02644,11.31911
1962,30.66251,10.88243
1963,28.86131,11.50477
1964,31.15179,10.76881
1965,30.12741,11.91786
1966,31.14718,11.47748
1967,30.58935,10.59512
1968,30.88516,10.37276
1969,29.9316,11.80839
1970,34.50694,11.48161
1971,30.41938,11.95893
1972,32.07743,11.69622
1973,30.33344,10.86969
1974,32.44387,11.7306
1975,33.85298,11.20179
1976,31.4998,10.42361
1977,32.55373,12.14137
1978,34.55973,11.56861
1979,34.22878,11.96192
1980,35.08724,11.6723
1981,36.64823,12.16062
1982,38.58706,11.47526
1983,36.33307,12.00734
1984,36.24397,11.55282
1985,36.632,12.29975
1986,37.60686,12.68535
1987,35.30519,11.83288
1988,32.06349,10.14236
1989,31.599,11.04587
1990,30.09333,10.01155
1991,29.86096,8.896665
1992,29.15996,9.188734
1993,27.89434,8.58971
1994,28.66391,9.264556
1995,29.59781,8.037958
1996,29.11086,7.675908
1997,25.71262,7.532901
1998,25.55881,6.980475
1999,24.21744,7.582592
2000,25.11893,7.811996
2001,23.35394,7.079841
2002,25.14929,6.394913
2003,22.30559,6.941166
2004,22.4088,5.982184
1981,7.927753,3.826715
1982,7.157553,2.853445
1985,6.943275,2.51677
1986,6.119931,2.680833
1987,6.665195,2.909419
1988,5.681418,2.534463
1989,5.886524,2.491978
1990,3.321677,0.832518
1991,3.370187,1.008676
1992,3.772966,1.089356
1993,2.789392,1.028466
1994,1.096277,0.5496479
1995,1.481606,0.1800632
1996,1.912715,0.3849193
1997,2.83542,0.6182882
1998,1.279725,0.4200949
1999,1.271021,0.3348784
2000,1.318945,0.3883553
2004,2.332625866,0.545843542
2004,5.236285686,1.609110832
1985,3.004878,0.9027397
1987,3.165804,1.102464
1988,3.908124,0.6495454
1999,2.682337,0.9799417
2000,5.668147,0.3023646
2001,4.347687,0.9313131
2004,6.751053333,0.739074409
2004,14.80530262,14.39273071
2004,5.563058376,0.706947982
1981,43.05365,7.598261
